Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0000,5635592
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0001,45877718
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0002,19746076
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0003,1417797
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0004,24664286
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0005,2376440
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0006,16858471
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0007,23238221
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0008,27406180
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0009,503598
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\000a,2175819
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\000b,3843705
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\000c,4965923
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\000d,30051409
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\000e,6356329
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\000f,2680238
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0010,8066034
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0011,4429480
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0012,3671237
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0013,1696227
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0014,17382176
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0015,6140376
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0016,3818694
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0017,3624991
