created_month,n
2017-11-01 00:00:00.000,1236
2017-12-01 00:00:00.000,6706
2018-01-01 00:00:00.000,5233
2018-02-01 00:00:00.000,4408
2018-03-01 00:00:00.000,6765
2018-04-01 00:00:00.000,4492
2018-05-01 00:00:00.000,5463
2018-06-01 00:00:00.000,4962
2018-07-01 00:00:00.000,5356
2018-08-01 00:00:00.000,5939
2018-09-01 00:00:00.000,4541
2018-10-01 00:00:00.000,5882
2018-11-01 00:00:00.000,4572
2018-12-01 00:00:00.000,5206
2019-01-01 00:00:00.000,3953
2019-02-01 00:00:00.000,3922
2019-03-01 00:00:00.000,8952
2019-04-01 00:00:00.000,3852
2019-05-01 00:00:00.000,3547
2019-06-01 00:00:00.000,3088
2019-07-01 00:00:00.000,5621
2019-08-01 00:00:00.000,3631
2019-09-01 00:00:00.000,3824
2019-10-01 00:00:00.000,3513
2019-11-01 00:00:00.000,3126
2019-12-01 00:00:00.000,1354
2020-01-01 00:00:00.000,4071
2020-02-01 00:00:00.000,2521
2020-03-01 00:00:00.000,2520
2020-04-01 00:00:00.000,1768
2020-05-01 00:00:00.000,1606
2020-06-01 00:00:00.000,2194
2020-07-01 00:00:00.000,1939
2020-08-01 00:00:00.000,1709
2020-09-01 00:00:00.000,19239
2020-10-01 00:00:00.000,1058
2020-11-01 00:00:00.000,1604
2020-12-01 00:00:00.000,2036
2021-01-01 00:00:00.000,2243
2021-02-01 00:00:00.000,1565
2021-03-01 00:00:00.000,2636
2021-04-01 00:00:00.000,2192
2021-05-01 00:00:00.000,2164
2021-06-01 00:00:00.000,1931
2021-07-01 00:00:00.000,2297
2021-08-01 00:00:00.000,2133
2021-09-01 00:00:00.000,2426
2021-10-01 00:00:00.000,3032
2021-11-01 00:00:00.000,6802
2021-12-01 00:00:00.000,12621
2022-01-01 00:00:00.000,28463
2022-02-01 00:00:00.000,11729
2022-03-01 00:00:00.000,3145
2022-04-01 00:00:00.000,3024
2022-05-01 00:00:00.000,2973
2022-06-01 00:00:00.000,3186
2022-07-01 00:00:00.000,3379
2022-08-01 00:00:00.000,3551
2022-09-01 00:00:00.000,3586
2022-10-01 00:00:00.000,3708
2022-11-01 00:00:00.000,2921
2022-12-01 00:00:00.000,3573
2023-01-01 00:00:00.000,3183
2023-02-01 00:00:00.000,2953
2023-03-01 00:00:00.000,3399
2023-04-01 00:00:00.000,2845
2023-05-01 00:00:00.000,3094
2023-06-01 00:00:00.000,3686
2023-07-01 00:00:00.000,998
2023-08-01 00:00:00.000,5196
2023-09-01 00:00:00.000,3451
2023-10-01 00:00:00.000,3073
2023-11-01 00:00:00.000,2846
2023-12-01 00:00:00.000,2817
2024-01-01 00:00:00.000,1966
2024-02-01 00:00:00.000,2824
2024-03-01 00:00:00.000,3405
2024-04-01 00:00:00.000,3891
2024-05-01 00:00:00.000,3476
2024-06-01 00:00:00.000,3813
2024-07-01 00:00:00.000,2557
2024-08-01 00:00:00.000,3654
2024-09-01 00:00:00.000,3084
2024-10-01 00:00:00.000,3187
2024-11-01 00:00:00.000,2629
2024-12-01 00:00:00.000,3039
2025-01-01 00:00:00.000,2436
2025-02-01 00:00:00.000,9971
2025-03-01 00:00:00.000,3938
2025-04-01 00:00:00.000,42194
2025-05-01 00:00:00.000,4294
2025-06-01 00:00:00.000,4306
2025-07-01 00:00:00.000,3672
2025-08-01 00:00:00.000,3270
2025-09-01 00:00:00.000,3278
2025-10-01 00:00:00.000,4433
2025-11-01 00:00:00.000,3387
2025-12-01 00:00:00.000,3290
2026-01-01 00:00:00.000,2535
2026-02-01 00:00:00.000,3241
2026-03-01 00:00:00.000,3423
2026-04-01 00:00:00.000,4092
2026-05-01 00:00:00.000,8042
2026-06-01 00:00:00.000,4190
2026-07-01 00:00:00.000,153
