county,acquired_n,min_days,mean_days,max_days,p50_days,p95_days,p99_days,p999_days
Alfalfa,96,3.00,61.52,1521.78,32.01,65.01,602.42,1429.84
Atoka,87,2.00,33.68,305.03,20.00,65.01,98.61,284.39
Beaver,78,1.00,34.72,642.00,25.01,65.01,197.71,597.57
Beckham,60,1.00,85.34,369.03,28.00,329.53,369.03,369.03
Blaine,1065,0.25,118.00,942.08,4.00,547.63,598.03,920.50
Bryan,27,2.00,37.12,65.01,37.01,59.39,63.70,64.88
Carter,347,1.00,120.35,425.96,51.01,369.03,369.03,425.61
Cimarron,10,3.00,21.90,59.99,20.00,50.09,58.01,59.79
Coal,34,1.00,279.79,368.03,328.03,342.03,368.03,368.03
Comanche,1234,0.12,67.22,970.00,11.96,497.03,564.37,607.03
Custer,321,1.00,53.52,475.01,30.00,277.14,315.83,424.14
Dewey,124,1.00,47.08,328.03,28.00,314.83,328.03,328.03
Ellis,99,2.00,45.11,942.07,32.01,65.01,91.37,857.00
Garvin,377,0.98,31.79,575.03,17.00,65.01,297.43,549.46
Grant,17,4.00,33.06,65.01,33.01,65.01,65.01,65.01
Harmon,3,4.00,93.68,254.03,23.00,230.92,249.41,253.56
Harper,49,1.00,27.35,65.01,30.00,62.21,65.01,65.01
Haskell,2022,0.85,124.65,635.03,31.98,502.03,616.61,633.03
Hughes,138,1.00,50.26,942.07,40.01,66.06,379.75,885.21
Jackson,102,1.00,118.64,129.03,129.03,129.03,129.03,129.03
Jefferson,844,0.95,60.17,610.03,5.00,474.88,596.03,610.03
Johnston,19,1.00,109.58,1623.79,15.00,220.89,1343.21,1595.74
Kay,175,1.00,32.86,342.00,33.01,60.29,136.76,341.83
Kingfisher,307,0.35,91.64,570.03,32.01,304.03,344.03,500.87
Kiowa,39,0.94,131.14,605.03,1.00,578.43,599.71,604.50
Latimer,91,1.00,128.46,358.03,54.01,318.03,322.03,354.43
LeFlore,5165,0.22,88.27,915.04,16.00,532.03,611.01,635.01
Lincoln,180,1.00,133.51,357.02,52.00,317.03,357.02,357.02
Logan,445,1.00,130.03,552.03,46.01,356.03,356.03,484.98
Love,240,1.00,278.78,584.03,316.03,549.03,584.03,584.03
Major,148,1.00,140.82,604.01,65.01,316.03,584.03,601.07
Marshall,19,10.00,79.06,584.03,32.01,342.83,535.79,579.20
McClain,313,0.22,50.63,552.03,18.00,315.03,355.91,510.21
McIntosh,38,1.00,48.66,355.03,28.01,315.03,340.23,353.55
Murray,60,1.00,250.07,479.03,315.03,479.03,479.03,479.03
Muskogee,231,1.00,31.48,119.03,25.01,65.01,75.50,110.28
Noble,82,0.99,28.02,430.03,1.00,226.03,264.79,413.50
Okfuskee,53,1.00,35.31,307.01,24.01,63.01,180.13,294.32
Okmulgee,87,1.00,43.08,464.00,37.01,65.01,437.87,461.39
Pawnee,37,1.00,33.09,65.01,42.01,65.01,65.01,65.01
Pittsburg,218,1.00,33.10,401.01,35.01,63.01,73.99,386.89
Pontotoc,177,1.00,31.97,1011.03,22.00,61.01,65.01,844.53
Roger Mills,174,1.00,91.03,833.09,40.01,329.96,350.50,752.63
Seminole,91,1.00,80.59,574.03,46.01,563.03,574.03,574.03
Stephens,6146,0.22,69.90,910.04,3.00,507.03,570.03,605.03
Texas,36,1.00,73.98,552.03,27.50,309.03,466.98,543.52
Washington,80,1.00,77.69,348.02,38.01,308.03,339.21,347.14
Washita,61,1.00,75.55,363.08,47.01,308.03,363.08,363.08
Woodward,82,0.99,59.64,308.03,30.00,308.03,308.03,308.03
