county,acquired_n,p95_days,sample_flag,missing_total,missing_older_than_cutoff
Roger Mills,174,330,,5663,5639
Major,148,317,,298,238
Stephens,6146,508,,340,134
LeFlore,5165,533,,762,108
McClain,313,316,,135,99
Comanche,1234,498,,135,67
Noble,82,227,,58,55
Garvin,377,66,,78,49
Carter,347,370,,53,48
Okmulgee,87,66,,48,47
Muskogee,231,66,,44,44
Ellis,99,66,,29,29
Texas,36,310,LOW SAMPLE - use pooled cutoff,30,27
Washington,80,309,,21,19
Custer,321,278,,442,19
Hughes,138,67,,18,17
Blaine,1065,548,,1099,16
Pittsburg,218,64,,16,16
Kingfisher,307,305,,19,13
Dewey,124,315,,16,11
Harper,49,63,LOW SAMPLE - use pooled cutoff,16,10
Grant,17,66,LOW SAMPLE - use pooled cutoff,9,9
Beckham,60,330,,16,9
McIntosh,38,316,LOW SAMPLE - use pooled cutoff,9,8
Haskell,2022,503,,10,7
Lincoln,180,318,,26,6
Woodward,82,309,,7,6
Alfalfa,96,66,,8,6
Coal,34,343,LOW SAMPLE - use pooled cutoff,181,5
Pontotoc,177,62,,5,4
Latimer,91,319,,4,4
Kay,175,61,,5,3
Seminole,91,564,,25,2
Atoka,87,66,,2,2
Jackson,102,130,,25,2
Bryan,27,60,LOW SAMPLE - use pooled cutoff,1,1
Love,240,550,,102,1
Johnston,19,221,LOW SAMPLE - use pooled cutoff,3,1
Logan,445,357,,3,1
Marshall,19,343,LOW SAMPLE - use pooled cutoff,1,1
Harmon,3,231,LOW SAMPLE - use pooled cutoff,1,0
Jefferson,844,475,,1,0
Kiowa,39,579,LOW SAMPLE - use pooled cutoff,2,0
Okfuskee,53,64,,1,0
Murray,60,480,,35,0
