RecordID,CountyID,LandDescriptionID,BriefLegal,Subdivision,Lot,Block,AbstractName,AcreageByTract,QuarterCalls,Remarks
1480d5d4-7750-4c94-b5e7-fbad45c98f5f,221,00084e1a-a368-4182-90ec-8b5895369278,NABORS J A 10 234.0000 acres,NULL,NULL,NULL,NULL,234.0000,NULL,NULL
a8986d21-0284-4171-984e-a1f99b0f645f,221,00085e5b-c298-45a1-a533-8b4ba1e37824,OVALO TOWN OF 67 3,OVALO TOWN OF,3,67,NULL,NULL,NULL,NULL
00910f8d-8ca4-4078-9f0c-bdccf6ebd577,221,000db4e6-682f-4c0b-af81-30267b33401e,A-1026 KELSEY F 30 NE 4.5200 acres,NULL,NULL,NULL,1026,4.5200,NE,NULL
c46698b0-9e8f-4273-b825-5f85858bdf81,221,000dcdf8-5bdd-4b39-9977-1c74ff5d8404,CARRIAGE HILLS ADDITION SECTION 3 T 2,CARRIAGE HILLS ADDITION SECTION 3,2,T,NULL,NULL,NULL,NULL
f6d45809-2f40-4f7a-90c2-1f5bca3a8f4d,221,000f7350-d20f-4ee7-953a-fa260ad6a7e4,JOHNSTONS SUBDIVISION F 1,JOHNSTONS SUBDIVISION,1,F,NULL,NULL,NULL,NULL
384129e0-facf-4bd5-9409-16e72aa8c789,221,0012a89c-668f-4a20-b86f-a001d96b9520,8 SAUCEDO J M 3.6300 acres,NULL,8,NULL,NULL,3.6300,NULL,NULL
9728e125-0e7c-4009-b553-0805afd81d6e,221,0021c86c-e327-4dda-a45c-8b358992784c,LT3 BK 13 SCOTT HIGHWAY PLACE,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0f799f12-3acd-4a7f-bd8b-3c54f1ce86e5,221,002264cc-e764-4aeb-a680-ee50f71084fb,408.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1c35f47c-5b95-43d1-aeba-155db67b2f62,221,0027e668-05ef-45d5-b237-69b90324ebf6,252.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL
f6541b7a-3845-48a4-bf11-e2fff886a165,221,002b2199-bee1-454f-86d8-aa46f2c8097e,TUSCOLA ORIGINAL TOWN OF 23 4,TUSCOLA ORIGINAL TOWN OF,4,23,NULL,NULL,NULL,NULL
a8986d21-0284-4171-984e-a1f99b0f645f,221,003daf93-fe30-4c8b-915c-ed027bfb2fc3,OVALO TOWN OF 48 11,OVALO TOWN OF,11,48,NULL,NULL,NULL,NULL
a8986d21-0284-4171-984e-a1f99b0f645f,221,00418373-0590-4bf2-ac2e-91a9df90b037,OVALO TOWN OF 64 10 17.1000 acres,OVALO TOWN OF,10,64,NULL,17.1000,NULL,NULL
ff3b753a-8274-463e-93d0-45403812aa2e,221,0047b757-fdc8-4161-afe6-fd4363d81ba3,DELLIS AND PAXTON SUBDIVISION 5 1,DELLIS AND PAXTON SUBDIVISION,1,5,NULL,NULL,NULL,NULL
8261966b-8466-4e81-9ddf-4b6c2cc5c615,221,004da421-6fc7-42b6-a8af-ebf701299eac,CAMPUS ADDITION CONTINUATION OF 21 4,CAMPUS ADDITION CONTINUATION OF,4,21,NULL,NULL,NULL,NULL
da43f076-7a84-4094-9ad6-a26419b505e8,221,00524c5d-1cf4-4c3d-a335-35886bf3e850,VALI HAI ESTATES ADDITION SECTION F 22,VALI HAI ESTATES ADDITION SECTION F,22,NULL,NULL,NULL,NULL,NULL
394603c5-8547-4807-8381-b19d56604d56,221,005303db-c101-4c6d-9b13-462c41f7bab7,FRENCHMANS CREEK SUBDIVISION 2 401,FRENCHMANS CREEK SUBDIVISION,401,2,NULL,NULL,NULL,NULL
a776bc84-0d5a-440b-b4fc-d9daf4812324,221,00610dd5-cdf5-4280-9aaf-ba289b6460af,182.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5c7372d0-4f32-4d80-87a2-23956ad65894,221,0061851a-7aa4-457d-b0cc-078d460a95a0,HOLIDAY HILLS ADDITION SECTION 1 CONTINUATION OF E 36,HOLIDAY HILLS ADDITION SECTION 1 CONTINUATION OF,36,E,NULL,NULL,NULL,NULL
4b4fd380-6325-46cc-9e8d-91a8731dce8c,221,0066e62e-3b47-4a43-bde2-8163a719c719,CASTLEWOOD ESTATES J 117,CASTLEWOOD ESTATES,117,J,NULL,NULL,NULL,NULL
