lease_id,recordID,countyName,stateAbbreviation,div1_instrument_type,div1_lease_updated
4612282,1ac7af7d-8b02-45e6-a49b-408650a28212,Decatur,KS,Lease,2019-09-06 03:29:30.840
4621210,a84865bb-ed21-434c-ae13-4ec4c5f5f6e6,Greeley,KS,Lease,2019-10-02 03:07:25.997
4892483,e5976dd8-1f11-441d-8ca6-3b0e798dbbfe,St. Landry,LA,Lease option,2023-01-13 20:05:26.847
4892458,0a84b72d-f2ac-41c2-8d3d-50e2c0a339ec,St. Landry,LA,Lease option,2023-01-13 20:05:22.347
4892559,908f5d4d-0848-4a45-8f52-bfb163be988d,St. Landry,LA,Lease option,2023-01-13 20:05:39.377
4893932,147408fb-ca78-41eb-bb08-e5ad07a349cc,Washington,PA,Lease amendment,2023-01-23 02:04:20.763
4989831,f98d1a0d-f424-4c8c-8e78-8940fc64ef3a,Guadalupe,TX,Lease,2023-11-28 23:05:38.993
4547895,80db494e-e73b-4c6c-81ba-741a9d890685,McMullen,TX,Lease,2019-04-03 02:26:31.850
4547898,9dcd0169-ce07-410b-aa25-0d46e22f7cd8,McMullen,TX,Lease,2019-04-03 02:26:31.913
4245391,ea719dca-edf2-4e41-baca-a36f8e489698,McMullen,TX,Lease,2019-12-25 17:32:19.517
4233745,c723fc9a-2d40-45e0-8b72-006b9121ac87,McMullen,TX,Memo of lease,2018-01-29 23:54:34.620
4240362,c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,McMullen,TX,Memo of lease,2018-02-01 22:40:21.407
4238794,ab78f977-04dc-48df-aad7-cf296d95e0a8,McMullen,TX,Memo of lease,2018-02-01 00:34:26.410
4238366,995fc18f-f9ed-4ddb-a8f7-28a193867820,McMullen,TX,Memo of lease,2019-06-19 13:39:41.050
4232753,1c3f8812-913f-4af3-82d0-9ebeb9aa3de4,McMullen,TX,Memo of lease,2018-01-29 03:51:39.870
4547893,3bfc2172-d7df-43d8-8b45-efb24d689a6c,McMullen,TX,Lease,2019-04-03 02:26:31.807
4547896,1b8d765f-0d20-4a58-9ada-48b8f80fd1df,McMullen,TX,Lease,2019-04-03 02:26:31.867
4547897,064e5d99-8bfe-4157-a1c5-3724c2370b85,McMullen,TX,Lease,2019-04-03 02:26:31.897
4547894,1218f1e7-4a3e-4b5b-aa88-7dbebdb2dab2,McMullen,TX,Lease,2019-04-03 02:26:31.837
4201285,8a80e1d7-3533-422a-93ed-2dd315ff074d,McMullen,TX,Memo of lease,2017-11-13 22:01:09.503
4233079,66d99bf5-949e-4f25-9655-cb41beb55092,McMullen,TX,Lease,2018-01-29 22:00:45.667
4547892,7d321a52-931a-4040-9ace-f084d06babf4,McMullen,TX,Lease,2019-04-03 02:26:31.790
4235962,79c04b09-5604-4245-956d-e2f8917a3709,McMullen,TX,Memo of lease,2018-01-30 23:28:23.213
4233997,73b8adcf-d36c-4dfb-8436-a23eac7aa867,McMullen,TX,Memo of lease,2018-01-30 01:59:20.923
4233081,52e835bb-a7c3-4e57-8aac-5e90a7afda7a,McMullen,TX,Memo of lease,2018-01-29 22:00:46.010
4233080,672e6a07-8e81-4952-9b81-c875f3df2afd,McMullen,TX,Memo of lease,2018-07-23 05:51:04.663
