stateAbbreviation,candidate_leases,has_mapping_id,no_mapping_id,pct_dropped
OH,100352,84211,16141,16.08
TX,521990,459783,62207,11.92
WV,184709,167093,17616,9.54
LA,60319,57234,3085,5.11
NM,36468,34667,1801,4.94
CA,3088,3008,80,2.59
CO,34460,34018,442,1.28
PA,78833,77929,904,1.15
MI,2139,2116,23,1.08
NV,115,114,1,0.87
MS,16907,16763,144,0.85
ND,60200,59808,392,0.65
UT,4431,4403,28,0.63
WY,19158,19040,118,0.62
KS,17971,17900,71,0.40
OK,199396,198739,657,0.33
MT,13467,13425,42,0.31
AR,13849,13808,41,0.30
SD,4,4,0,0.00
