state_name,created_month,mappings_created,later_revised
Texas,2026-07-01,4753,1
West Virginia,2026-07-01,4549,0
Oklahoma,2026-07-01,1806,0
Ohio,2026-07-01,1450,0
North Dakota,2026-07-01,1350,0
Pennsylvania,2026-07-01,842,0
Louisiana,2026-07-01,627,0
Montana,2026-07-01,519,0
Colorado,2026-07-01,280,0
New Mexico,2026-07-01,219,0
Arkansas,2026-07-01,185,0
California,2026-07-01,51,0
Utah,2026-07-01,46,0
Wyoming,2026-07-01,24,0
Texas,2026-06-01,4608,2
Oklahoma,2026-06-01,4016,0
Montana,2026-06-01,3093,0
West Virginia,2026-06-01,2677,2
Ohio,2026-06-01,2033,0
Colorado,2026-06-01,1716,0
Pennsylvania,2026-06-01,1459,0
Louisiana,2026-06-01,1318,0
North Dakota,2026-06-01,1315,0
Wyoming,2026-06-01,1168,0
Arkansas,2026-06-01,567,0
New Mexico,2026-06-01,349,0
Utah,2026-06-01,202,0
Kansas,2026-06-01,117,0
Mississippi,2026-06-01,23,0
Michigan,2026-06-01,5,0
West Virginia,2026-05-01,8476,0
Texas,2026-05-01,5346,0
Oklahoma,2026-05-01,3735,1
Louisiana,2026-05-01,2440,0
Ohio,2026-05-01,2259,0
Pennsylvania,2026-05-01,1904,0
Montana,2026-05-01,1773,0
Colorado,2026-05-01,1588,0
North Dakota,2026-05-01,1296,0
New Mexico,2026-05-01,1119,0
Arkansas,2026-05-01,531,0
Kansas,2026-05-01,207,0
Utah,2026-05-01,150,0
Michigan,2026-05-01,41,0
Texas,2026-04-01,5807,0
West Virginia,2026-04-01,4437,0
Oklahoma,2026-04-01,2994,0
Ohio,2026-04-01,1777,0
Louisiana,2026-04-01,1340,0
Pennsylvania,2026-04-01,1282,1
North Dakota,2026-04-01,938,0
Wyoming,2026-04-01,909,0
Montana,2026-04-01,837,0
Colorado,2026-04-01,500,0
Utah,2026-04-01,486,0
Arkansas,2026-04-01,431,0
New Mexico,2026-04-01,411,0
Kansas,2026-04-01,192,0
Nevada,2026-04-01,76,0
Mississippi,2026-04-01,6,0
Michigan,2026-04-01,6,0
West Virginia,2026-03-01,6905,0
Texas,2026-03-01,4522,0
Ohio,2026-03-01,3957,0
Oklahoma,2026-03-01,3812,0
Pennsylvania,2026-03-01,2955,0
North Dakota,2026-03-01,545,0
New Mexico,2026-03-01,543,0
Wyoming,2026-03-01,358,0
Colorado,2026-03-01,210,0
Montana,2026-03-01,100,0
Arkansas,2026-03-01,27,0
Utah,2026-03-01,20,0
California,2026-03-01,14,0
Kansas,2026-03-01,13,0
Louisiana,2026-03-01,6,0
Michigan,2026-03-01,3,0
Texas,2026-02-01,3179,0
West Virginia,2026-02-01,1616,0
Oklahoma,2026-02-01,1314,0
North Dakota,2026-02-01,1212,0
Ohio,2026-02-01,751,0
New Mexico,2026-02-01,500,0
Wyoming,2026-02-01,484,0
Montana,2026-02-01,434,0
Pennsylvania,2026-02-01,380,0
Colorado,2026-02-01,365,0
