package_id,distinct_documents,record_count
cvvv5sosssgg00dpnd6g,4,4
cv2bbf7k7seg00ee9h1g,4,4
cvvs9vt27ee000ffpmkg,4,4
cvjid8m9pj7000au06o0,4,4
cvvv5kqcalk000e6eemg,3,4
d04k606r7j8g00bft2k0,3,4
cvvbli5pebk000cbsp6g,3,4
cvvsjk4aa58000ch5o40,3,4
d04ktg8b12i0009t8p1g,3,4
cvvsjjsclak000atd9s0,3,3
cv2bbebchrbg00c9scs0,3,3
cvnji64s10rg00ep90qg,3,3
cu40lfu7qbfg00ejtqn0,3,3
cvvbqg0sssgg00dj539g,3,3
cvveenkmmp300089jvhg,3,3
cvnj53cclak0009nm4j0,3,3
cvpdksnmrfo000a443b0,3,3
cu40lca5m5tg0095g0mg,3,3
cvndlf6b3op0009aprq0,3,3
cvpd2ekaa58000bfvk5g,3,3
cvvs776omc2g00ddjv10,3,3
cvpd6k8h3d7g00bouup0,3,3
cvumd00sssgg00dj3ac0,3,3
cvumcrcaa58000cajesg,3,3
cvvrrt8b12i00089nk4g,3,3
cvpdku4mmp3000fephd0,3,3
cvvbqc4s3cjg00egoq00,3,3
cvu2727mrfo000apue3g,3,3
d05v9q5pebk000e7i2ng,3,3
cvnj0c4s10rg00ep8upg,3,3
cvvc3lacalk000dvsjd0,3,3
cvnj0fao7i8g00fs5l3g,3,3
d07plitpebk000ec2ukg,3,3
cvumcpgb12i000834lc0,3,3
cvveg5saa58000calup0,3,3
d04hp9s72f3g00bvqne0,3,3
cv2bbbki2efg00c5ehag,3,3
cvv7pfio7i8g008rd7hg,3,3
cvvbotdaar4g00e0bat0,3,3
cvvejnob12i000837670,3,3
cvumcqrpp0p000fhn7cg,3,3
d07pr7dlhp0g009t7qjg,3,3
cvpd6mfk2lrg00cc6utg,3,3
d5g50sei2fk000adutag,2,4
cvvrr6k1fmq000c5n3tg,2,4
d04hu92o7i8g00alhaf0,2,4
d07po0eqdhp000fehjp0,2,4
cvvsheuomc2g00ddk13g,2,3
cvvrqr10qf8g008gkmhg,2,3
cvndn5momc2g00c7rn40,2,3
cvvs6j8h3d7g00cq8v6g,2,3
d04k5qqcalk000fpv6k0,2,3
cvniq9vk2lrg00c7oi5g,2,3
cvnjkopggil000ecaoe0,2,3
cvnjl7ss3cjg00dhidf0,2,3
d04k69lpebk000e61pd0,2,3
cvvsat5aar4g00e6ss0g,2,3
d07q2rqdvnk000b1f9bg,2,3
cvnipgcmmp3000faaf80,2,3
cvnk0beo773g008o34pg,2,3
d0551s4s3cjg008arusg,2,3
d5pccbf1akqg00cc7b60,2,3
cvvbo8caa58000cal6ug,2,3
cvvshceo773g009tsa7g,2,3
cvvshrur7j8g009s8otg,2,3
cvvs63qdvnk00097t0g0,2,3
cvvu2hidvnk00097tq80,2,3
cvvbknejsr2g008tsv80,2,3
d07pucegi0og00a95efg,2,3
d07pr6lpebk000ec32e0,2,3
cvvssjmgi0og008fit1g,2,3
d04k60sclak000cgthb0,2,3
cvnjl6sclak0009nm680,2,3
cvvbp3ss10rg00fofh5g,2,3
cvvsi38h3d7g00cq91lg,2,3
d04k6ipn485g00bs5sug,2,3
d04k616r7j8g00bft2kg,2,3
cvvv8eer7j8g009s9m50,2,3
cvvrqfugi0og008fi9e0,2,3
d07psk2dvnk000b1f600,2,3
cvvshteomc2g00ddk170,2,3
cvumfdugi0og0088vf30,2,3
cvvbo91ggil000fbgc0g,2,3
cvvbqhsmmp300089j8ug,2,2
cvumcc2o7i8g008rc79g,2,2
d5pccbui2fk000aej82g,2,2
cvvstf90qf8g008gl9hg,2,2
cvo0o610p0eg00e7qsbg,2,2
cvvu7sh0qf8g008glsgg,2,2
cvvrs0uomc2g00ddjm50,2,2
cvniro6o773g008o30n0,2,2
cvvs5v1ggil000fi1ekg,2,2
cvvemuqdvnk00091co10,2,2
d0jslm2o7i8g00bm1egg,2,2
cvvc8djpp0p000fhpe20,2,2
cvnirq2dvnk00082537g,2,2
d1c99lqvr6ng00945ujg,2,2
cvpdja6o773g008shun0,2,2
cvvsf0cs10rg00fv1cc0,2,2
cvnisneo773g008o30u0,2,2
d07pu5mjsr2g00au2pe0,2,2
cvvbm3t27ee000f98400,2,2
cvpdjc4clak0009s4l8g,2,2
cvvbqeqo7i8g008re2lg,2,2
d5vva15sdh8000a0qg4g,2,2
d05v9jn9vfn000em8mc0,2,2
d5ultk5sdh8000a0pmd0,2,2
cvvstojpuid000bb9qe0,2,2
d05v9ptlhp0g009omosg,2,2
cvvs7uugi0og008fil20,2,2
d07ppghggil0009bhv50,2,2
cvvbq679vfn000cqmie0,2,2
d07q08ss10rg009okctg,2,2
cvvs88cclak000atd8g0,2,2
d07q19ps5hl000emhg9g,2,2
d00ibrgsssgg00e06t60,2,2
cvume54mmp300089hfag,2,2
cvu2785lhp0g00fo7rq0,2,2
cvvrtismmp30008g4kmg,2,2
cvnj7bhggil000ecampg,2,2
d00icoadvnk0009edb00,2,2
cvumc6nmrfo000aupu8g,2,2
cvu1somo773g009i8b5g,2,2
d04lell27ee00093bvk0,2,2
cvne1fcs10rg00ep8m3g,2,2
d05531cclak000cguh40,2,2
d5ululdsdh8000a0pmn0,2,2
cu40l4suvhug00b2hfsg,2,2
cug0b40pr2e000a2jeo0,2,2
cvkpla9u4pg0008rnei0,2,2
cvvefn6omc2g00d73g50,2,2
d004i1cclak000b01qm0,2,2
cvpdktur7j8g008qufn0,2,2
cvvru9d27ee000ffpc50,2,2
cvvrtt4aa58000ch5c80,2,2
cvvs8l2o7i8g0091vla0,2,2
d5pk2n0nnp4g00cq9hsg,2,2
cvnjhv90p0eg00e6bn50,2,2
cvvbpkur7j8g009ln140,2,2
cvniu40b12i000f40r70,2,2
cvvegfrpuid000b4pgp0,2,2
d5pcb3f1akqg00cc7b5g,2,2
d05va14s3cjg008cb2n0,2,2
cvvegudpebk000cbth20,2,2
d004v98sssgg00dskieg,2,2
d620ca5sdh8000a13d50,2,2
d07pjbllhp0g009t7mhg,2,2
cvvsa63puid000bb9isg,2,2
cvvs7t0sssgg00dpmf8g,2,2
cvvej5k72f3g00a5r510,2,2
cvnithao7i8g00fs5kh0,2,2
d0sfb0d27ee000aanr0g,2,2
d004bssclak000avugag,2,2
