recordID,countyName,stateAbbreviation,imageLocation,s3FilePath
001673e9-add1-4f7b-ba2e-61825b601cf7,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\0016,s3://enverus-courthouse-prod-chd-plants/nm/cibola/0016/001673e9-add1-4f7b-ba2e-61825b601cf7.pdf
00da9e8d-9590-4e82-a5c8-7f83649ab508,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\00da,s3://enverus-courthouse-prod-chd-plants/nm/cibola/00da/00da9e8d-9590-4e82-a5c8-7f83649ab508.pdf
03f28c38-1a9b-4497-b56f-f33dd8c08d20,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\03f2,s3://enverus-courthouse-prod-chd-plants/nm/cibola/03f2/03f28c38-1a9b-4497-b56f-f33dd8c08d20.pdf
04486e91-d8f5-4674-912b-1fc5b2207e20,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\0448,s3://enverus-courthouse-prod-chd-plants/nm/cibola/0448/04486e91-d8f5-4674-912b-1fc5b2207e20.pdf
060d1b2e-0a51-46ee-b9f1-7ab413cb34e2,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\060d,s3://enverus-courthouse-prod-chd-plants/nm/cibola/060d/060d1b2e-0a51-46ee-b9f1-7ab413cb34e2.pdf
096c8e1a-5bdc-4fef-aef4-4b9258ecef1a,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\096c,s3://enverus-courthouse-prod-chd-plants/nm/cibola/096c/096c8e1a-5bdc-4fef-aef4-4b9258ecef1a.pdf
0c4dc4cf-6e6a-4f6b-9c7b-5abc9edf7136,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\0c4d,s3://enverus-courthouse-prod-chd-plants/nm/cibola/0c4d/0c4dc4cf-6e6a-4f6b-9c7b-5abc9edf7136.pdf
0c800883-2e03-4598-9db4-3d6469579f51,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\0c80,s3://enverus-courthouse-prod-chd-plants/nm/cibola/0c80/0c800883-2e03-4598-9db4-3d6469579f51.pdf
0e4a9cc0-e808-47d5-8e61-36e9571ccf2a,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\0e4a,s3://enverus-courthouse-prod-chd-plants/nm/cibola/0e4a/0e4a9cc0-e808-47d5-8e61-36e9571ccf2a.pdf
113c5765-b971-4a88-8d2c-30e6f9581dac,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\113c,s3://enverus-courthouse-prod-chd-plants/nm/cibola/113c/113c5765-b971-4a88-8d2c-30e6f9581dac.pdf
14b48cf9-3eea-4281-91f9-91b57ef7b904,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\14b4,s3://enverus-courthouse-prod-chd-plants/nm/cibola/14b4/14b48cf9-3eea-4281-91f9-91b57ef7b904.pdf
165833b5-a252-47c9-811a-7287e4ce7185,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1658,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1658/165833b5-a252-47c9-811a-7287e4ce7185.pdf
18066cb2-d1f1-4145-a434-2ea679682398,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1806,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1806/18066cb2-d1f1-4145-a434-2ea679682398.pdf
1905a37e-e503-4d58-bcb5-b5b12378dc54,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1905,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1905/1905a37e-e503-4d58-bcb5-b5b12378dc54.pdf
19c54c89-c646-46a3-a3fe-1e491de0cbe8,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\19c5,s3://enverus-courthouse-prod-chd-plants/nm/cibola/19c5/19c54c89-c646-46a3-a3fe-1e491de0cbe8.pdf
1ad3c927-5534-41f4-899d-6f8606286b29,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1ad3,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1ad3/1ad3c927-5534-41f4-899d-6f8606286b29.pdf
1b5ac8f8-ddea-4b10-90eb-c53d5d2f36c7,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1b5a,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1b5a/1b5ac8f8-ddea-4b10-90eb-c53d5d2f36c7.pdf
1b7f78e8-9355-46b7-b67f-eee1767fe082,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1b7f,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1b7f/1b7f78e8-9355-46b7-b67f-eee1767fe082.pdf
1caccc14-f8ca-4e6c-bc7e-7cc9e2010a63,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1cac,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1cac/1caccc14-f8ca-4e6c-bc7e-7cc9e2010a63.pdf
1f9b47f5-639f-4b01-b046-69473655f26e,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1f9b,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1f9b/1f9b47f5-639f-4b01-b046-69473655f26e.pdf
1fa8395e-e4f5-493b-9f55-687636bf160a,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\1fa8,s3://enverus-courthouse-prod-chd-plants/nm/cibola/1fa8/1fa8395e-e4f5-493b-9f55-687636bf160a.pdf
207336a9-afd3-477a-97d5-a0490ac41960,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2073,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2073/207336a9-afd3-477a-97d5-a0490ac41960.pdf
22c84cb5-f2c8-42a8-b29f-301715d2f65a,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\22c8,s3://enverus-courthouse-prod-chd-plants/nm/cibola/22c8/22c84cb5-f2c8-42a8-b29f-301715d2f65a.pdf
25c9d773-d519-4605-9fc0-b31c06b8b5a5,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\25c9,s3://enverus-courthouse-prod-chd-plants/nm/cibola/25c9/25c9d773-d519-4605-9fc0-b31c06b8b5a5.pdf
26036fd4-fc11-4bef-828f-ed7a7b3a565e,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2603,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2603/26036fd4-fc11-4bef-828f-ed7a7b3a565e.pdf
29927bdc-8b8b-4c03-9448-0adeaf0abd5a,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2992,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2992/29927bdc-8b8b-4c03-9448-0adeaf0abd5a.pdf
2992f98b-7c43-4aa4-9deb-3f71414967d7,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2992,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2992/2992f98b-7c43-4aa4-9deb-3f71414967d7.pdf
2ce75f97-2baa-473b-9f2f-6116e380f027,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2ce7,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2ce7/2ce75f97-2baa-473b-9f2f-6116e380f027.pdf
2ec17c3c-fd3d-4f58-af27-0b32ea127575,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2ec1,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2ec1/2ec17c3c-fd3d-4f58-af27-0b32ea127575.pdf
2f57e729-328f-4752-ac95-c0624482847c,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2f57,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2f57/2f57e729-328f-4752-ac95-c0624482847c.pdf
2ff30a52-aebc-4daa-9251-0ee05abe3ac6,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\2ff3,s3://enverus-courthouse-prod-chd-plants/nm/cibola/2ff3/2ff30a52-aebc-4daa-9251-0ee05abe3ac6.pdf
3025f7cd-3f39-4dc5-8094-a4d4ebfa93b0,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3025,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3025/3025f7cd-3f39-4dc5-8094-a4d4ebfa93b0.pdf
328c0d15-5376-434e-a9cd-17cd7c90108c,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\328c,s3://enverus-courthouse-prod-chd-plants/nm/cibola/328c/328c0d15-5376-434e-a9cd-17cd7c90108c.pdf
35d3119b-c4d8-409b-845b-df00713b0c1f,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\35d3,s3://enverus-courthouse-prod-chd-plants/nm/cibola/35d3/35d3119b-c4d8-409b-845b-df00713b0c1f.pdf
36295f07-e81c-4cc9-932e-09e8a22de654,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3629,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3629/36295f07-e81c-4cc9-932e-09e8a22de654.pdf
37f2364f-f867-422b-97a1-a218eb75f0fa,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\37f2,s3://enverus-courthouse-prod-chd-plants/nm/cibola/37f2/37f2364f-f867-422b-97a1-a218eb75f0fa.pdf
38709fa3-7a3e-4d16-9c8a-9667d60fa686,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3870,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3870/38709fa3-7a3e-4d16-9c8a-9667d60fa686.pdf
3a8feec5-6379-4d7a-a8b3-8bb43b52d17c,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3a8f,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3a8f/3a8feec5-6379-4d7a-a8b3-8bb43b52d17c.pdf
3af4aac4-0753-4d04-be65-36180d21bbec,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3af4,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3af4/3af4aac4-0753-4d04-be65-36180d21bbec.pdf
3c184ec5-2a70-4ac2-8216-c34d4d75d9d4,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3c18,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3c18/3c184ec5-2a70-4ac2-8216-c34d4d75d9d4.pdf
3c51c052-39f2-44f8-9fdc-637eabbe54e5,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3c51,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3c51/3c51c052-39f2-44f8-9fdc-637eabbe54e5.pdf
3c6200fa-7e12-4ccf-ba5d-d2dcb79155bb,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3c62,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3c62/3c6200fa-7e12-4ccf-ba5d-d2dcb79155bb.pdf
3d990883-d778-47fe-8413-6f1cd7aba693,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\3d99,s3://enverus-courthouse-prod-chd-plants/nm/cibola/3d99/3d990883-d778-47fe-8413-6f1cd7aba693.pdf
4558accb-e3a2-46ea-866d-8b27473b5da3,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4558,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4558/4558accb-e3a2-46ea-866d-8b27473b5da3.pdf
47082c90-2e15-47e1-9c09-76fa4743b3a7,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4708,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4708/47082c90-2e15-47e1-9c09-76fa4743b3a7.pdf
4b0d6c58-d195-4499-8f2e-3a119e31b0e0,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4b0d,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4b0d/4b0d6c58-d195-4499-8f2e-3a119e31b0e0.pdf
4c668776-4f23-4857-87ff-e3a216e2dbfe,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4c66,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4c66/4c668776-4f23-4857-87ff-e3a216e2dbfe.pdf
4cc7383a-7afa-4ed1-8c70-e811d69e4a11,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4cc7,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4cc7/4cc7383a-7afa-4ed1-8c70-e811d69e4a11.pdf
4d17b186-065f-47bc-8c5d-acd191516622,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4d17,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4d17/4d17b186-065f-47bc-8c5d-acd191516622.pdf
4d48fe10-bb2a-47ac-bd16-a482dc7f11f3,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4d48,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4d48/4d48fe10-bb2a-47ac-bd16-a482dc7f11f3.pdf
4dc6ebfd-2708-44f3-927c-184319d98383,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\4dc6,s3://enverus-courthouse-prod-chd-plants/nm/cibola/4dc6/4dc6ebfd-2708-44f3-927c-184319d98383.pdf
506a9c5f-8535-4810-a070-025601452b24,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\506a,s3://enverus-courthouse-prod-chd-plants/nm/cibola/506a/506a9c5f-8535-4810-a070-025601452b24.pdf
50c1a71c-3d0e-4ca7-8789-bdf4db3666bc,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\50c1,s3://enverus-courthouse-prod-chd-plants/nm/cibola/50c1/50c1a71c-3d0e-4ca7-8789-bdf4db3666bc.pdf
5359b9a8-ce43-4c02-aff9-7b21e18e69c8,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5359,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5359/5359b9a8-ce43-4c02-aff9-7b21e18e69c8.pdf
5a9e5da5-8c19-4e7d-90f3-5e17e36cfc62,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5a9e,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5a9e/5a9e5da5-8c19-4e7d-90f3-5e17e36cfc62.pdf
5d3b8d47-ceaa-454b-b007-82cb024d391f,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5d3b,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5d3b/5d3b8d47-ceaa-454b-b007-82cb024d391f.pdf
5d454870-5e5b-4945-a68e-87183ae7c59f,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5d45,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5d45/5d454870-5e5b-4945-a68e-87183ae7c59f.pdf
5ee32116-d4eb-4d99-a0d9-0448c411ed35,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5ee3,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5ee3/5ee32116-d4eb-4d99-a0d9-0448c411ed35.pdf
5f70147d-4152-4145-9666-168a1d6dfc81,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5f70,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5f70/5f70147d-4152-4145-9666-168a1d6dfc81.pdf
5fac014f-3b9f-4449-9e4a-6f3f79f48c89,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\5fac,s3://enverus-courthouse-prod-chd-plants/nm/cibola/5fac/5fac014f-3b9f-4449-9e4a-6f3f79f48c89.pdf
